sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top50	Collecting duct	1358	0.153103089121585	0.15653950360938	0.0698471899443847	0.0961352190429042	0.855819313541645	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F59	MAGMA_top50	Injured/undifferentiated epithelial	28	0.163369958196273	0.160314859027944	0.0569873545653341	0.0862208846720261	0.533065484134772	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_Bonferroni	Collecting duct	916	0.174375161327948	0.17883587098806	0.060134762894857	0.080517120597114	0.731959935581097	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_Bonferroni	Fibroblast/stromal	84	0.167872645715227	0.168406781117575	0.048734056530602	0.0644453180677236	0.480920816987434	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_Bonferroni	Injured/undifferentiated epithelial	376	0.18953475213268	0.189298093800022	0.0495061573916607	0.0688916590307381	0.664449240944739	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_FDR05	Collecting duct	916	0.192805371868742	0.203299115756349	0.0499652523258399	0.0625743954616219	0.731959935581097	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_FDR05	Fibroblast/stromal	84	0.187288746323056	0.18882352528394	0.03876006160424	0.0433439215312332	0.480920816987434	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_FDR05	Injured/undifferentiated epithelial	376	0.202904414328555	0.203515294534719	0.0313406939554437	0.0414778042382624	0.664449240944739	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_suggestive_p1e4	Collecting duct	916	0.182461135541921	0.190427007468059	0.0531846780564879	0.0672757357998731	0.731959935581097	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166169_inferred_from_archive	V12Y24.346_XY02_F63	MAGMA_suggestive_p1e4	Fibroblast/stromal	84	0.176821499912198	0.180021143719782	0.0399746414050643	0.052460320407366	0.480920816987434	Predicted broad-compartment context only; not true cell fraction or histological ROI.
