gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
CLDN16	-2.59471273422241	0.00946700070484514	0.268137208568407	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
C21orf33	-2.59395098686218	0.00948800117523628	0.268137208568407	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
UTP15	2.59192705154419	0.00954400065036232	0.268447527726936	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CTD-2376I4.2	-2.58556342124939	0.00972199852550918	0.2695651126945	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
FCHO2	-2.58556342124939	0.00972199852550918	0.2695651126945	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TTC33	-2.58182287216187	0.00982800121988113	0.2695651126945	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DTNB	-2.5811562538147	0.00984700014223461	0.2695651126945	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HOXD11	-2.58017580816318	0.00987500274626807	0.2695651126945	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
ADAM15	2.57965183258057	0.00988999713635509	0.2695651126945	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RTF1	2.57929647801574	0.00990017770922277	0.2695651126945	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
FBRSL1	-2.57697200775147	0.00996700217583917	0.270151063520586	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
C1QL3	2.56653543601217	0.0102720129046497	0.277158429639938	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
UGGT2	-2.5562732219696	0.0105800009193399	0.282976257713838	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-768F21.1	-2.55532532860928	0.0106088591687497	0.282976257713838	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
APTX	-2.55463242530823	0.010629998612762	0.282976257713838	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BOK	-2.5491042137146	0.0108000021675931	0.286224057446035	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PKM	2.5471715927124	0.0108600018043497	0.286540667076713	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GPR62	-2.5430166721344	0.0109899985098999	0.28700179326539	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MCRIP2	2.54079747200012	0.0110599964697466	0.28700179326539	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
METTL26	-2.54079747200012	0.0110599964697466	0.28700179326539	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GALNT4	-2.54048132896423	0.0110700004110414	0.28700179326539	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FLI1	2.53796219825745	0.0111500027338036	0.287824529444462	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FADS1	-2.53458943060241	0.0112579186821242	0.28842501085152	GTEx_v8_Kidney_Cortex	3	multi_snp_model	yes	no	not_fdr_supported	proxy only
ABCC6	-2.53421354293823	0.0112700029395278	0.28842501085152	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC00471	-2.53204321861267	0.0113400013061539	0.288976187130752	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SLC26A10	-2.52865648269653	0.0114500032377887	0.290537741731633	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
TOM1	2.52166771888733	0.0116799980469067	0.295117916752986	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-1348G14.4	-2.51067662239075	0.0120500025217604	0.303182130958893	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CHN1	2.5089225769043	0.0121100023930505	0.303411530545211	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC02110	2.49884152412415	0.0124600017361538	0.309927369588408	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
