gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
KANSL1	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.938941883312067	0.496312663204109	4	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KANSL1	R1_MAGMA_Bonferroni_only	no	Endothelial	0.938870717271094	0.499218139171228	4	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KANSL1	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.926655792780831	0.489772063120982	4	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KANSL1	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.910953144442304	0.480728504870818	4	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KANSL1	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.970925641908465	0.52037037037037	4	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KANSL1	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.973745927434907	0.493243243243243	3	Pericyte_smooth_muscle	0.52037037037037	0.970925641908465	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.112420778598385	0.0933742718585899	4	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Endothelial	0.107479413644202	0.0891321344800626	4	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.110369678178996	0.0900058445353595	4	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.114424139219277	0.0902160101651842	4	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.114796496531808	0.0907407407407407	3	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
KCNK5	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.0901992179644619	0.0743243243243243	3	Loop_of_Henle_TAL	0.0907407407407407	0.114796496531808	descriptive single-gene expression summary; no gene-level causal inference
LINC02875	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal		0	0	not_detected	0	0	gene not present in Seurat rownames
LINC02875	R1_MAGMA_Bonferroni_only	no	Endothelial		0	0	not_detected	0	0	gene not present in Seurat rownames
LINC02875	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal		0	0	not_detected	0	0	gene not present in Seurat rownames
