module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727	91	0.12634695617587	0.110539822289068	0.0747281590565958	0.00179820050241766	0.067200315607959	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263	91	0.363084600051379	0.365870766274532	0.0550850041610842	0.0033966868689994	0.243220657669327	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290913	GSM7290913	stone_disease	Pericyte_smooth_muscle	21	91	0.219105923886107	0.20784385725422	0.0413059742281035	0.00901370255019901	0.160648874934589	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290914	GSM7290914	stone_disease	Collecting_duct_principal	10898	91	0.177006553513724	0.184767860510404	0.0823303962322016	0.00078865453278489	0.12402013475605	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290914	GSM7290914	stone_disease	Endothelial	1172	91	0.178382667353238	0.179028359991019	0.0591427594017401	0.00172757844826943	0.106036455012564	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290914	GSM7290914	stone_disease	Fibroblast_stromal	26	91	0.102336268711775	0.0951984323208951	0.0548182972193095	0.0107507525855072	0.0435333896872358	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290914	GSM7290914	stone_disease	Injured_undifferentiated_epithelial	13	91	0.145413161267612	0.148600608678589	0.0612371364215384	0.0169841257946492	0.0659340659340659	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top100	GSM7290914	GSM7290914	stone_disease	Loop_of_Henle_TAL	4	91	0.271969177976898	0.249986063893662	0.0840613393060707	0.0420306696530353	0.181318681318681	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318	46	0.12929092205724	0.120344070952643	0.0971604813648797	0.00122236201862097	0.0714796922526391	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Endothelial	271	46	0.192578511894836	0.192081398013175	0.0785455458124696	0.00477130211403452	0.143590566340446	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	46	0.196057791853957	0.203978199523315	0.0973507931194943	0.00324142685058759	0.141689964330473	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	46	0.245811375694078	0.268275535684167	0.11404347891669	0.00479360496466719	0.185435550775849	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	46	0.3980713845059	0.417377652066614	0.0775383827875505	0.0143985162134359	0.31784107946027	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	46	0.232839790357707	0.23790725866071	0.0832469746570166	0.0078312166289656	0.180454020777222	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	46	0.193898275898926	0.191315126318334	0.114443327097883	0.00089782257243164	0.128512137948751	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Endothelial	810	46	0.215693025276237	0.218578472580428	0.0853464691562815	0.00299876925319065	0.163660762211487	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	46	0.203303688701577	0.209242565553005	0.0920898886645838	0.00221214029442114	0.138086755814245	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	46	0.184782778601175	0.169214718458688	0.0957402241855547	0.0129096091956202	0.0984189723320158	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244	46	0.363367935726546	0.36052988596687	0.091476429324263	0.00585617829904035	0.245545260156807	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14	46	0.199488743359739	0.197279604808525	0.0637618951366371	0.0170410832809074	0.139751552795031	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385	46	0.234962525144901	0.249552163469315	0.0999755440871573	0.00268638893285627	0.185747920263695	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290913	GSM7290913	stone_disease	Endothelial	305	46	0.220683626577738	0.218937244319213	0.0831215139078037	0.00475952404092554	0.190306486101212	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761	46	0.241934749226386	0.248527494321926	0.0880178758466903	0.00319064550675169	0.194595212249329	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727	46	0.162021394186119	0.14049675255982	0.101996010578582	0.0024543529478372	0.082399738173762	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_top50	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263	46	0.42800470971909	0.435711371045436	0.0856071878328089	0.00527876534153182	0.287650851380394	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
